FUR_ID,FUR_NAME,FUR_LINK,FUR_DESC,FUR_COST,FUR_DIM_L,FUR_DIM_W,FUR_DIM_H,FUR_TYPE
131,Nakashima Desk,https://www.1stdibs.com/furniture/storage-case-pieces/desks/george-nakashima-inspired-walnut-desk-boyd-allister/id-f_29525162/?utm_content=condensed&allowUniversalLink=no&gad_source=1&gclid=CjwKCAiAsIGrBhAAEiwAEzMlCxAYiqSJbsb6vxB55cxa5a5Ez7ujWUdd83KmdbTmc9tcA62KzFFkPBoCBU4QAvD_BwE&gclsrc=aw.ds,FOO,9400,66,152,76,Desk
132,Neutra Desk,https://industrywest.com/products/neutra-desk-kit,FOO,1950,150,76,76,Desk
133,Venice Desk,https://industrywest.com/products/venice-desk,FOO,1340,70,150,76,Desk
134,Olivia Desk,https://www.deskstand.com/products/olivia-desk?variant=93348757520&currency=ZAR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorCekrDbaxkfHdMjHBFUkF_oXusbOSHWWdtoqAmKse1-9Kp1FFwA8E,FOO,106,118,50,72,Desk
135,Tuareg Writing Desk,https://weylandts.eu/product/tuareg-writing-desk/,FOO,1532,140,70,78,Desk
136,Tango Writing Desk,https://melanieinteriordesign.shop/products/classic-desk-tango,FOO,728,120,60,78,Desk
137,Egg Collective Desk,https://www.radnor.co/furniture/francis-desk,FOO,14800,55,137,75,Desk
138,Cersei Desk,https://www.arsitag.com/product/cersei-working-desk,FOO,109,50,105,85.6,Desk
139,Cowdray Executive Desk,https://www.desertcart.com.cy/products/134488154-cowdray-executive-desk,FOO,2517,76,167,82,Desk
140,Tristan Desk,https://www.arsitag.com/product/tristan-working-desk,FOO,136,54.5,105,86.5,Desk
141,Puro Desk,https://rapportfurniture.com/products/desk-puro-135x60cm-6drawers,FOO,1338,60,135,78,Desk
142,Zona Writing Desk,https://www.wayfair.com/furniture/pdp/mercury-row-whiddon-solid-wood-desk-w005404703.html,FOO,245,71,152,77,Desk
143,Higley Computer Desk,https://www.aptdeco.com/product/wayfair-higley-credenza-desk-2,FOO,200,76,152,77,Desk
144,Moonscape Desk,https://rapportfurniture.com/products/desk-moonscape-120x60cm,FOO,1358,60,120,76,Desk
145,Apiano Desk,https://rapportfurniture.com/products/desk-apiano,FOO,1258,40,90,76,Desk
146,Moonraker Desk,https://kareshopecuador.com/producto/coffee-table-moonraker-110x60/,FOO,762,60,110,40,Desk
147,Aria Writing Desk,https://www.thosmoser.com/product/aria-writing-deskdressing-table/,FOO,5525,56,122,76,Desk
148,Double Drawer,https://www.patioandpizza.com/products/necessories-kitchen-trash-cabinet-kit,FOO,2959,71,82,94,Drawer
149,Oslo 3 Drawer,https://industrywest.com/products/oslo-three-drawer-dresser,FOO,2295,52,100,76,Drawer
150,Trunk 6 Drawer,https://www.trithouse.com.au/products/trunk-six-drawers,FOO,5490,53,196,89,Drawer
151,Harumi Drawer,https://uwitan.id/product/harumi-drawer/,FOO,245,35,75,128,Drawer
152,Tiana Drawer,https://uwitan.id/product/tiana-drawer/,FOO,158,30,75,91,Drawer
153,Venice 6 Drawer,https://industrywest.com/products/venice-six-drawers,FOO,2950,45,150,95,Drawer
154,Oslo 5 Drawer,https://industrywest.com/products/oslo-five-drawer-dresser,FOO,2495,51,100,121,Drawer
155,Stool Drawer,https://www.kian.ie/index.php?route=product/product&path=258&product_id=17767,FOO,108,35,50,46,Drawer
156,Chest 3 Drawer,https://uwitan.id/product/chest-3-drawer/,FOO,103,33,41,83,Drawer
157,Chest 4 Drawer,https://uwitan.id/product/chest-4-drawer/,FOO,135,33,41,102,Drawer
158,Venice Side Drawer,https://industrywest.com/products/venice-nightstand,FOO,995,45,45,45,Drawer
159,Bench 2 Drawer,https://uwitan.id/product/bench-2-drawer/,FOO,119,33,90,45,Drawer
160,Purezza Drawer,https://www.kare-design.com/shop/us/en/Dresser-Puro-14-Drawers/81335,FOO,1858,35,115,80,Drawer
161,California 12 Drawer,https://www.kareuae.ae/dresser-california-12-drawers.html,FOO,193,33,62,141,Drawer
162,Bistro 8 Drawer,https://www.kareuae.ae/dresser-bistro-8-drawers-beige.html,FOO,1211,40,100,95,Drawer
163,Quinta 14 Drawers,https://rapportfurniture.com/products/dresser-quinta-14-drawers,FOO,1448,35,114,80,Drawer
164,Luxury 5 Drawer ,https://rapportfurniture.com/products/high-dresser-luxury-champagne-5-drawers,FOO,818,41,49,110,Drawer
165,Capri 11 Drawer,https://www.kareuae.ae/dresser-capri-11drw.html,FOO,686,36,90,105,Drawer
166,Folke Chair,https://www.ikea.com/,Small wood chair with black cushioning,120,40,40,96,Chair
167,Henriksdal Chair,https://www.ikea.com/es/en/p/henriksdal-chair-dark-brown-dansbo-dark-grey-s29220308/,Upholstered red dining chair,59,58,51,97,Chair
168,Fritz Chair,https://www.ikea.com/,Small wooden accent chair,39,42,40,50,Chair
169,Herman Chair,https://www.ikea.com/us/en/cat/chairs-fu002/,Plastic green dining chair,55,44,40,60,Chair
170,Ingolf Chair with Armrest,https://www.ikea.com/us/en/p/ingolf-chair-white-70103250/,Wooden dining chair with armrest,75,53,44,91,Chair
171,Ingolf Chair,https://www.ikea.com/us/en/p/ingolf-chair-white-70103250/,Classic wooden dining chair,70,53,42,91,Chair
172,Klappe Chair,https://www.ikea.com/us/en/cat/desk-chairs-20652/,Red desk chair,299,67,56,110,Chair
173,Snille Chair,https://www.ikea.com/us/en/cat/desk-chairs-20652/,Small blue office chair,130,56,45,94,Chair
174,Urban Chair,https://www.ikea.com/us/en/p/urban-junior-chair-white-00165213/,Small white chair good for any use,49,50,50,68,Chair
175,Urban Chair - Orange,https://www.ikea.com/us/en/p/urban-junior-chair-white-00165213/,"Small chair, brightens a space",49,50,50,68,Chair
176,Janinge Chair,https://www.ikea.com/us/en/p/janinge-chair-yellow-60246080/#content,Small yellow plastic chair,85,46,50,76,Chair
177,Volfgang Chair,https://www.ikea.com/us/en/p/volfgang-chair-chrome-plated-gunnared-medium-gray-90404662/,Stackable gray chair with simple metal legs,115,53,50,88,Chair
