11,Tylosand 3 Seat Sofa Bed,https://www.comfortly.com/products/tylosand-3-seat-ikea-sofa-bed-cover?variant=43699494519024&currency=USD&gad=1&gclid=Cj0KCQjwhL6pBhDjARIsAGx8D5-7Q75mCNP1M55ZGTk7b1iT4EOZyQEbqFIVM0IRin5Hiu2jHCi6-cgaAl59EALw_wcB,FOO,429,89,240,52,Sofa
12,Ekekog 3 Seat Sofa,https://bemz.com/en-us/products/EKE1-C-CTW103?gclid=Cj0KCQjwhL6pBhDjARIsAGx8D59VIVeOAdCsrlhIvRPeRZLiYSHsSwA_GG-FaRMf292TaFiHnmbhkP8aAomhEALw_wcB,FOO,479,106,236,95,Sofa
13,Ektorp Sofa Dark Blue,https://www.ikea.com/es/en/p/ektorp-3-seat-sofa-hillared-dark-blue-s39430532/,FOO,525.83,88,218,88,Sofa
14,Kramfors 2 Seat Sofa,https://www.comfortly.com/products/kramfors-2-seat-ikea-sofa-cover?variant=43699714982128&currency=USD&gad=1&gclid=CjwKCAjws9ipBhB1EiwAccEi1PSmFdQEnivdN3QRipa2ayEUr5qmBg-IY8mlDbOrsEAXXd6WBokdpxoCiNUQAvD_BwE,FOO,235,95,178,66,Sofa
15,Alrid 2 Seat Sofa,https://kaiyo.com/ikea-ikea-arild-two-cushion-sofa/,FOO,604,91,203,76,Sofa
16,Solsta 2 Seat Sofa,https://offerup.com/item/detail/1416445132,FOO,85,79,137,72,Sofa
17,Vreta 3 Seat Sofa Mjuk Ivory,https://www.showmethead.com/evanston-il/furniture/450-obo-beautiful-ikea-vreta-leather-sofa-like-new-retail-799_19018492.html,FOO,450,95,207,88,Sofa
18,Kipplan 2 Seat Sofa,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/,FOO,399,89,177,66,Sofa
19,Lilberg 2 Seat Sofa,https://bemz.com/en-us/products/LIL2,FOO,175,94,128,85,Sofa
